"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"Matas Buzelis","F","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4711294.png",88.8149914237747,86.1151329071751,"On Fire (last 5)","Last 5 avg (74.9) is 13 above season avg (61.9). Boosted by SCORING, DISC"
"Mouhamed Gueye","F","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4712863.png",93.0197654078716,86.0321600483058,"On Fire (last 5)","Last 5 avg (79.1) is 11.3 above season avg (67.8). Boosted by REB, DISC"
"Deandre Ayton","C","POR","https://a.espncdn.com/i/headshots/nba/players/full/4278129.png",66.7802345933272,85.9850531861143,"— Steady","Recent form (63.6) is close to season avg (66.1)"
"Daniel Gafford","F","DAL","https://a.espncdn.com/i/headshots/nba/players/full/4278049.png",81.3341336646022,85.7462550606293,"— Steady","Recent form (70.1) is close to season avg (71.5)"
"Bam Adebayo","C","MIA","https://a.espncdn.com/i/headshots/nba/players/full/4066261.png",75.5200860087105,85.6231910699656,"— Steady","Recent form (67.3) is close to season avg (71.8)"
"Evan Mobley","C","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4432158.png",84.4581741813554,85.1264424538961,"— Steady","Recent form (71.9) is close to season avg (77)"
"Joel Embiid","C","PHI","https://a.espncdn.com/i/headshots/nba/players/full/3059318.png",68.1754275057119,84.7013549145712,"— Steady","Recent form (64.1) is close to season avg (69.4)"
"Ivica Zubac","C","LAC","https://a.espncdn.com/i/headshots/nba/players/full/4017837.png",76.3287125110128,84.5380016400641,"— Steady","Recent form (67.6) is close to season avg (74.9)"
"Shai Gilgeous-Alexander","G","OKC","https://a.espncdn.com/i/headshots/nba/players/full/4278073.png",76.7694597942215,84.5262438567569,"Cold (last 5)","Last 5 avg (67.9) is 14.1 below season avg (82). Dragged down by PLAY, DISC"
"Cameron Johnson","F","BKN","https://a.espncdn.com/i/headshots/nba/players/full/3138196.png",78.6953411234355,84.2226409908751,"— Steady","Recent form (68.8) is close to season avg (66.2)"
"Zion Williamson","F","NO","https://a.espncdn.com/i/headshots/nba/players/full/4395628.png",74.1820559292697,84.1107499659794,"— Steady","Recent form (66.7) is close to season avg (73.3)"
"Amen Thompson","G","HOU","https://a.espncdn.com/i/headshots/nba/players/full/4684740.png",77.5252775715082,84.0917490499301,"— Steady","Recent form (68.2) is close to season avg (72.7)"
"Jamal Shead","G","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4432241.png",79.9838629300081,83.6078682233992,"On Fire (last 10)","Last 10 avg (71.5) is 10 above season avg (61.6). Boosted by PLAY, REB"
"Shaedon Sharpe","G","POR","https://a.espncdn.com/i/headshots/nba/players/full/4914336.png",90.4918012322029,83.2893943634501,"On Fire (last 5)","Last 5 avg (76.4) is 13.3 above season avg (63.1). Boosted by SCORING, IMPACT"
"RJ Barrett","F","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4395625.png",87.8715007315606,83.1062732231948,"— Steady","Recent form (74.2) is close to season avg (69)"
